sentiment,headline
neutral,M2 Communications disclaims all liability for information provided within information on on the world wide web .
negative,"Operating profit totalled EUR 9.0 mn , down from EUR 9.7 mn in the first half of 2008 ."
neutral,"Prothious Engineering ( www.prothious.com ) employs more than 1,000 and has a large portfolio of projects and an annual detailing capacity of more than 100,000 tonnes ."
positive,These moderate but significant changes resulted in a significant 24-32 % reduction in the estimated CVD risk .
neutral,"The Company serves approximately 3,000 customers in over 100 countries ."
neutral,`` Marimekko operates in an industry in which changes in the business climate are reflected in consumer demand .
neutral,"The Group 's consolidated net sales for 2008 totaled 3.4 billion euros and it employs approximately 13,000 persons ."
neutral,The value of the confirmed aircraft orders totals EUR 2bn .
negative,"A total of 16.5 mn passenger ship journeys took place in the northern Baltic Sea in 2007 , slightly down from 16.5 mn in 2006 ."
negative,"The Bank's CDS levels in the market are significantly lower than the terms of the aforementioned funding, which have a maturity ranging from 1 to 7.5 years."
negative,The fact that some of the machinery and work has been brought to Poland has also caused them to be upset.
positive,"`` BasWare 's product sales grew strongly in the financial period , by 24 percent ."
neutral,"It 's even a little bit higher than Yara 's multiples on itself , ' an analyst in Helsinki said ."
neutral,He will report to CapMan Plc 's CEO Heikki Westerlund .
neutral,"Crucially , the decision to use ETSI ( European Telecommunication Standard Institute ) - backed DVB-H adds to the growing list of operators and equipment manufacturers opting for the standard ( see Global : 20 January 2006 : Competing Technologies Vie for Mobile TV ) ."
neutral,"The dividend is payable on February 1 , 2010 to shareholders of record on January 19 , 2010 ."
negative,The process of applying for summer work is viewed as strenuous and demanding.
positive,"Sales improved to SEK 1,553 mn , compared with SEK 1,408 mn ."
negative,"However , the growth margin slowed down due to the financial crisis ."
positive,The company will make its marketing and sales investments initiated in 2009 even more efficient in 2010 .
negative,"The internet has led to a rise in product comparison among consumers, resulting in Finnish companies being less competitive."
neutral,"M-Real said there are ` no grounds ' for the rumors , which ` have been circulating in the market for some months . '"
positive,Sponda will record a profit from the sale of 8.5 mln euro ($ 12.4 mln).
negative,"Last week, KCI Konecranes reported that Franklin Resources Inc's voting rights in the Finnish cranes company have decreased from 9 to 4.65 pct, which was over 9 pct in October 2005."
neutral,Global life science industry is strictly regulated by international and national authorities .
positive,"In 2009, the passenger-related revenue increased by 5.1 per cent, to EUR 460.8 mn, up from EUR 438.5 mn."
neutral,"The airline was targeting travel agents , tour operators and travel management companies to raise awareness first before targeting consumers , he added ."
positive,Costs will be reduced by approximately EUR 3 million every year through this.
positive,"`` Several growth initiatives in the chosen geographic areas are already ongoing , '' it continued , noting Lindex opened its first store in the Czech Republic this autumn in Brno ."
neutral,"Deutsche Beteiligungs , as well as a private equity fund it manages , first bought 75 % of MCE in a secondary buyout from White Plains , N.Y. , financial investor Andlinger & Co. in 2007 ."
negative,"Rautaruukki Oyj (OMX, RTRKS) caused a profit warning for the stock."
negative,The contracts of 96 blue-collar workers will be terminated from March to August 2011.
neutral,Sanoma will continue to focus on investing in digital media and on strengthening its market positions .
negative,"Finland has a total of 22 clerical workers who have been permanently sacked, with 19 of them being permanent employees."
neutral,"This will be done domestically and in neighboring markets , both organically and through acquisitions ."
neutral,"In addition , we will launch a versatile online service to complete the traditional printed newspaper , Mr. Valkama says ."
positive,Finnish Ahlstrom Corporation has ordered key production equipment for a new glass nonwovens production line at its Russian Tver Mill from Finnish Vaahto Pulp & Paper Machinery ( that is part of Vaahto Group ) .
positive,The divestment of Raisio 's margarine business in May 2009 gave the company a clearer focus on grain-based products .
negative,"EUR33m was the operating profit for the fourth quarter, which was EUR39m less than the previous year."
neutral,"Simultaneously with this merger plan another merger plan has been signed , according to which Suomen Projektivuokraus Oy , a subsidiary of VTM-Rakennuskonevuokraamo Oy , would be merged with VTM-Rakennuskonevuokraamo Oy ."
positive,"As a result , the Russia 's import restrictions on Finnish dairy companies will be canceled on 6 August 2010 ."
negative,"Finnish Vaahto Group that provides paper-making technology and process machinery is starting negotiations concerning the temporary lay-offs of all 140 employees at the company 's plants in Hollola and Tampere , in Finland ."
negative,"By clicking on a tinyurl link, users are taken to a fraudulent website that claims to offer thousands of dollars to Google (NASDAQ: GOOG) cash ad campaigns."
neutral,"CS Cabot exports 55 % of its production mainly to Goodyear , Bridgestone and Michelin plants in Poland , as well as to Germany 's Michelin or Italy 's Pirelli through the company 's logistics center in Paris , Stefan said ."
neutral,`` Fixed Mobile Convergence solutions represent a key value proposition in today 's communication market .
negative,"Orion Corp, a pharmaceuticals business, experienced a decline in third-quarter earnings, which was attributed to increased R&D and marketing expenses."
negative,"Peugeot's sales experienced a 0.81 pct decline, while the company's sales only increased by 6.3 pct compared to the same period last year."
negative,"In September alone , the market declined by 10.2 percent year-on-year to 19.28 million liters ."
positive,The shopping center will have a prime location right next to the Myllypuro metro station .
neutral,Kemira 's partner in the project is St. Petersburg Water Works .
neutral,Talvivaara is listed on the London Stock Exchange Main Market and NASDAQ OMX Helsinki and is included in the FTSE 250 Index .
neutral,"The Annual General Meeting approved a dividend of EUR 0.10 per share , that is , a total of EUR 7,8 million ."
negative,"According to the company, the sales decreased to EUR86.4 m, which is US$ 113.4 m, from EUR91.2 m in the previous year in the three months until March."
positive,"As part of the restructuring of Apoteket AB, a Swedish pharmacy monopoly, four companies have agreed to acquire all drug stores available for purchase, with a total cost of SEK 5.9 billion (USD 854 million-EUR 571.8 million), as reported by ADPnews"
positive,The Rettig family's Finnish Bore company has recently expanded by acquiring smaller shipping companies.
neutral,Finnish Componenta has published its new long-term strategy for the period 2011-2015 with the aim of growing together with its customers .
negative,"The profit before taxes in Q2 of 2009 was EUR 13.6 mn, which was a decrease from EUR 26.8 mn in Q2 2008."
